,age,ast_per_g,award_share,blk_per_g,fg3_pct,fg_pct,ft_pct,g,link,mp_per_g,player,points_max,points_won,pts_per_g,stl_per_g,team_id,trb_per_g,votes_first,ws,ws_per_48
213,23,3.7,0.002,0.2,.386,.406,.831,46,/players/f/ferreyo01.html,26.0,Yogi Ferrell,500,1.0,10.0,0.9,TOT,2.4,0.0,1.8,.072
214,25,1.6,0.002,0.2,.332,.413,.620,78,/players/m/mcgruro01.html,25.2,Rodney McGruder,500,1.0,6.4,0.6,MIA,3.3,0.0,2.9,.072
215,21,8.2,0.952,0.9,.000,.545,.560,81,/players/s/simmobe01.html,33.7,Ben Simmons,505,481.0,15.8,1.7,PHI,8.1,90.0,9.2,.162
216,21,3.7,0.640,0.3,.340,.437,.805,79,/players/m/mitchdo01.html,33.4,Donovan Mitchell,505,323.0,20.5,1.5,UTA,3.7,11.0,5.2,.095
217,19,1.6,0.200,0.7,.434,.475,.826,80,/players/t/tatumja01.html,30.5,Jayson Tatum,505,101.0,13.9,1.0,BOS,5.0,0.0,7.1,.139
218,22,1.8,0.006,0.4,.366,.450,.707,77,/players/k/kuzmaky01.html,31.2,Kyle Kuzma,505,3.0,16.1,0.6,LAL,6.3,0.0,3.8,.077
219,20,5.2,0.002,0.3,.313,.395,.694,69,/players/s/smithde03.html,29.7,Dennis Smith,505,1.0,15.2,1.0,DAL,3.8,0.0,-0.7,-0.017
220,19,6.0,0.992,0.3,.327,.427,.713,72,/players/d/doncilu01.html,32.2,Luka Dončić,500,496.0,21.2,1.1,DAL,7.8,98.0,4.9,.101
221,20,8.1,0.602,0.2,.324,.418,.829,81,/players/y/youngtr01.html,30.9,Trae Young,500,301.0,19.1,0.9,ATL,3.7,2.0,3.3,.062
222,20,1.8,0.132,0.9,.000,.585,.746,71,/players/a/aytonde01.html,30.7,Deandre Ayton,500,66.0,16.3,0.9,PHO,10.3,0.0,5.8,.128
223,19,1.1,0.024,1.4,.359,.506,.766,58,/players/j/jacksja02.html,26.1,Jaren Jackson,500,12.0,13.8,0.9,MEM,4.7,0.0,3.3,.105
224,20,3.0,0.020,0.1,.402,.430,.839,82,/players/s/sextoco01.html,31.8,Collin Sexton,500,10.0,16.7,0.5,CLE,2.9,0.0,-0.6,-0.011
225,20,3.3,0.014,0.5,.367,.476,.800,82,/players/g/gilgesh01.html,26.5,Shai Gilgeous-Alexander,500,7.0,10.8,1.2,LAC,2.8,0.0,3.3,.074
226,19,1.0,0.012,1.0,.313,.504,.691,62,/players/b/baglema01.html,25.3,Marvin Bagley,500,6.0,14.9,0.5,SAC,7.6,0.0,3.6,.110
227,20,1.2,0.002,0.4,.279,.386,.728,74,/players/o/okogijo01.html,23.7,Josh Okogie,500,1.0,7.7,1.2,MIN,2.9,0.0,1.2,.034
228,20,0.6,0.002,2.4,,.694,.600,66,/players/r/robinmi01.html,20.6,Mitchell Robinson,500,1.0,7.3,0.8,NYK,6.4,0.0,6.1,.217
